date,index_name,index_code,proxy_name,source_type,open,high,low,close,volume,trading_value
2026-08-12,KOSPI,069500,KODEX 200,etf_proxy,100550,104990,100240,103250,15084783,
2026-08-13,KOSPI,069500,KODEX 200,etf_proxy,107030,108930,106440,107270,18227047,
2026-08-14,KOSPI,069500,KODEX 200,etf_proxy,110220,110800,108145,110060,17088038,
2026-08-18,KOSPI,069500,KODEX 200,etf_proxy,113010,114710,107220,108550,20274228,
2026-08-19,KOSPI,069500,KODEX 200,etf_proxy,102635,104040,100655,101760,20456444,
2026-08-20,KOSPI,069500,KODEX 200,etf_proxy,104975,109380,103660,108190,33024560,
2026-08-21,KOSPI,069500,KODEX 200,etf_proxy,106835,110860,106460,109980,33240038,
2026-08-24,KOSPI,069500,KODEX 200,etf_proxy,109495,109500,105290,105995,16347489,
2026-08-25,KOSPI,069500,KODEX 200,etf_proxy,103035,106795,101105,106795,18853969,
2026-08-26,KOSPI,069500,KODEX 200,etf_proxy,106350,109120,105850,107710,20485425,
2026-08-27,KOSPI,069500,KODEX 200,etf_proxy,110900,110910,108195,109135,18603034,
2026-08-28,KOSPI,069500,KODEX 200,etf_proxy,108045,109270,107050,107180,21388836,
2026-08-31,KOSPI,069500,KODEX 200,etf_proxy,104455,105785,103015,103885,5651786,
2026-07-02,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,16135,16165,15300,15480,31880046,
2026-07-03,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,15520,15600,14460,15230,45746898,
2026-07-06,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,15225,15365,14390,14730,33464699,
2026-07-07,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14695,15300,14140,14535,33225529,
2026-07-08,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14205,14360,13435,13565,44622523,
2026-07-09,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13630,14365,13485,13770,50972699,
