stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
337840,2026-08-21,6400.0,-0.0062,0.0373,0.0373,6300.0,6230.5,0.1544,0.0217,2,price_momentum,pykrx,data/raw/price_337840_20260425_20260823.csv
206400,2026-08-21,948.0,-0.0327,0.0227,0.2474,975.0,878.8,0.553,0.0348,2,price_momentum,pykrx,data/raw/price_206400_20260425_20260823.csv
083470,2026-08-21,986.0,-0.003,0.0196,0.5146,984.2,867.0,0.747,0.0829,2,price_momentum,pykrx,data/raw/price_083470_20260425_20260823.csv
115530,2026-08-21,2800.0,-0.0604,0.0182,0.5226,2915.0,2405.75,0.6392,0.0527,2,price_momentum,pykrx,data/raw/price_115530_20260425_20260823.csv
033310,2026-08-21,1364.0,-0.0187,0.0179,0.0233,1370.2,1327.2,0.526,0.0215,2,price_momentum,pykrx,data/raw/price_033310_20260425_20260823.csv
003100,2026-08-21,20600.0,-0.0144,0.0173,-0.012,20930.0,20139.0,0.1855,0.0285,2,price_momentum,pykrx,data/raw/price_003100_20260425_20260823.csv
122640,2026-08-21,29550.0,0.0243,0.0155,0.1988,28520.0,23638.0,1.0667,0.0878,2,price_momentum,pykrx,data/raw/price_122640_20260425_20260823.csv
073190,2026-08-21,1622.0,0.0,0.015,1.0049,1615.8,1335.6,0.0,0.0694,2,price_momentum,pykrx,data/raw/price_073190_20260425_20260823.csv
431190,2026-08-21,2780.0,-0.0733,0.0146,0.1608,2799.0,2545.5,0.7214,0.0842,2,price_momentum,pykrx,data/raw/price_431190_20260425_20260823.csv
069640,2026-08-21,1459.0,-0.0168,0.0146,0.4708,1465.6,1307.65,0.3951,0.0519,2,price_momentum,pykrx,data/raw/price_069640_20260425_20260823.csv
332290,2026-08-21,897.0,0.0,0.0136,0.1033,892.6,889.2,0.0,0.0479,2,price_momentum,pykrx,data/raw/price_332290_20260425_20260823.csv
008930,2026-08-21,44950.0,0.0158,0.0135,0.3086,44650.0,40775.0,0.8104,0.0339,2,price_momentum,pykrx,data/raw/price_008930_20260425_20260823.csv
009620,2026-08-21,885.0,-0.0023,0.0126,0.1691,916.8,884.7,0.3575,0.0923,2,price_momentum,pykrx,data/raw/price_009620_20260425_20260823.csv
032800,2026-08-21,1560.0,-0.0032,0.0078,0.04,1561.0,1550.7,0.2632,0.0279,2,price_momentum,pykrx,data/raw/price_032800_20260425_20260823.csv
017810,2026-08-21,9230.0,-0.0181,0.0065,0.0267,9340.0,9090.0,0.4951,0.0268,2,price_momentum,pykrx,data/raw/price_017810_20260425_20260823.csv
340810,2026-08-21,3640.0,0.0341,0.0041,0.3946,3624.0,3263.5,0.3702,0.0401,2,price_momentum,pykrx,data/raw/price_340810_20260425_20260823.csv
010130,2026-08-21,1237000.0,-0.0008,0.0032,0.186,1207000.0,1117350.0,1.4969,0.0605,2,price_momentum,pykrx,data/raw/price_010130_20260425_20260823.csv
277880,2026-08-21,3375.0,-0.0493,0.0015,0.0748,3550.0,3159.5,0.6068,0.0438,2,price_momentum,pykrx,data/raw/price_277880_20260425_20260823.csv
383800,2026-08-21,8080.0,0.01,0.0012,0.0254,8134.0,7883.0,1.0998,0.0181,2,price_momentum,pykrx,data/raw/price_383800_20260425_20260823.csv
031860,2026-08-21,6930.0,0.0,0.0,0.0,6930.0,6930.0,0.0,0.0,2,price_momentum,pykrx,data/raw/price_031860_20260425_20260823.csv
066790,2026-08-21,2205.0,0.0,0.0,0.0,2205.0,2205.0,0.0,0.0,2,price_momentum,pykrx,data/raw/price_066790_20260425_20260823.csv
230360,2026-06-29,16000.0,0.0,0.0,0.0,16000.0,16000.5,0.0,0.0002,2,price_momentum,pykrx,data/raw/price_230360_20260425_20260823.csv
011420,2026-08-21,1467.0,0.002,-0.0168,0.0027,1472.4,1443.7,6.809,0.0353,2,price_momentum,pykrx,data/raw/price_011420_20260425_20260823.csv
012160,2026-08-21,2525.0,-0.0232,-0.0194,0.0609,2509.0,2433.0,2.4958,0.0389,2,price_momentum,pykrx,data/raw/price_012160_20260425_20260823.csv
053580,2026-08-21,6980.0,-0.0197,-0.0279,0.0528,7112.0,6794.0,1.7221,0.0273,2,price_momentum,pykrx,data/raw/price_053580_20260425_20260823.csv
163730,2026-08-21,9620.0,-0.075,-0.0531,0.1507,9794.0,9034.0,2.3312,0.0899,2,price_momentum,pykrx,data/raw/price_163730_20260425_20260823.csv
005690,2026-08-21,10660.0,-0.1012,-0.1057,-0.0465,11536.0,10943.5,1.8817,0.0587,2,price_momentum,pykrx,data/raw/price_005690_20260425_20260823.csv
