stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
134790,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.94,39.94,39.94,53.59,53.59,0,49.63,-2.0,2,3.68,0.0,0.0,6.0,0.0,0,0,39.94,v2_conservative_ranker,46.5,-3.0,1,12.39,0.0,0.0,9.0,47.89,47.89,v3_stability_ranker,neutral,19700.0,0.0,-0.0066,0.0368,19716.0,19671.5,0.5808,0.0307,pykrx,,,,,,6,2,2,data/raw/price_134790_20260430_20260828.csv,258,False,Broad evaluation pool candidate,184,False,Broad evaluation pool candidate
484870,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.82,39.82,39.82,45.14,45.14,0,46.5,-2.0,2,6.68,0.0,0.0,0.0,0.0,0,0,39.82,v2_conservative_ranker,44.0,-3.0,1,8.64,0.0,1.71,0.0,48.93,48.93,v3_stability_ranker,neutral,14740.0,-0.0212,-0.0264,0.1184,15080.0,16213.0,0.571,0.0557,pykrx,,,,,,,,,data/raw/price_484870_20260430_20260828.csv,259,False,Broad evaluation pool candidate,178,False,Broad evaluation pool candidate
348340,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.79,39.79,39.79,48.76,48.76,0,47.52,-2.0,2,7.49,0.0,0.24,0.0,0.0,0,0,39.79,v2_conservative_ranker,34.98,-3.0,1,7.64,0.0,2.78,0.0,37.84,37.84,v3_stability_ranker,neutral,18850.0,-0.0228,-0.0348,0.2267,19082.0,20076.95,0.7463,0.0624,pykrx,,,,,,,,,data/raw/price_348340_20260430_20260828.csv,260,False,Broad evaluation pool candidate,244,False,Broad evaluation pool candidate
071950,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.53,39.53,39.53,46.36,46.36,0,50.76,-2.0,2,9.4,0.0,1.83,0.0,0.0,0,0,39.53,v2_conservative_ranker,44.0,-3.0,1,1.26,0.1,5.33,0.0,37.83,37.83,v3_stability_ranker,neutral,1673.0,0.0456,-0.0024,0.1765,1618.6,1788.1,0.2683,0.0783,pykrx,,,,,,,,,data/raw/price_071950_20260430_20260828.csv,261,False,Broad evaluation pool candidate,245,False,Broad evaluation pool candidate
036530,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.5,39.5,39.5,40.48,40.48,0,41.69,-2.0,2,2.18,0.0,0.0,0.0,0.0,0,0,39.5,v2_conservative_ranker,34.58,-3.0,1,14.27,0.0,0.0,0.0,46.85,46.85,v3_stability_ranker,neutral,46150.0,-0.0032,-0.0065,-0.0761,45990.0,47582.5,0.4589,0.0182,pykrx,,,,,,,,,data/raw/price_036530_20260430_20260828.csv,262,False,Broad evaluation pool candidate,194,False,Broad evaluation pool candidate
199150,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.35,39.35,39.35,64.39,64.39,0,45.08,0.0,3,4.73,0.0,4.0,0.0,0.0,0,0,39.35,v2_conservative_ranker,35.18,-9.0,4,7.09,0.0,0.0,0.0,37.27,37.27,v3_stability_ranker,price_momentum,1799.0,-0.0955,-0.0978,0.0022,1956.2,1930.95,7.0631,0.0394,pykrx,,,,,,,,,data/raw/price_199150_20260430_20260828.csv,263,False,Broad evaluation pool candidate,248,False,Broad evaluation pool candidate
166090,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.24,39.24,39.24,47.09,47.09,0,48.0,-2.0,2,8.05,0.0,0.71,0.0,0.0,0,0,39.24,v2_conservative_ranker,44.0,-3.0,1,2.93,0.0,3.54,0.0,41.4,41.4,v3_stability_ranker,neutral,51800.0,-0.0407,-0.03,0.2005,52940.0,55865.0,0.4669,0.0671,pykrx,,,,,,,,,data/raw/price_166090_20260430_20260828.csv,264,False,Broad evaluation pool candidate,224,False,Broad evaluation pool candidate
009190,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.2,39.2,39.2,41.76,41.76,0,45.37,-2.0,2,6.17,0.0,0.0,0.0,0.0,0,0,39.2,v2_conservative_ranker,44.0,-3.0,1,9.29,0.0,1.02,0.0,50.27,50.27,v3_stability_ranker,neutral,1496.0,-0.0164,-0.004,0.0219,1463.6,1648.0,0.3669,0.0514,pykrx,,,,,,,,,data/raw/price_009190_20260430_20260828.csv,265,False,Broad evaluation pool candidate,149,False,Broad evaluation pool candidate
215480,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.15,39.15,39.15,41.83,41.83,0,43.36,-2.0,2,4.21,0.0,0.0,0.0,0.0,0,0,39.15,v2_conservative_ranker,39.11,-3.0,1,7.74,0.0,0.0,0.0,44.85,44.85,v3_stability_ranker,neutral,2075.0,0.0401,-0.0611,0.1277,2020.6,2042.4,0.1774,0.0351,pykrx,,,,,,,,,data/raw/price_215480_20260430_20260828.csv,266,False,Broad evaluation pool candidate,207,False,Broad evaluation pool candidate
352940,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,39.04,39.04,39.04,40.02,40.02,0,40.39,-2.0,2,1.34,0.0,0.0,0.0,0.0,0,0,39.04,v2_conservative_ranker,34.46,-3.0,1,15.32,0.0,0.0,0.0,47.78,47.78,v3_stability_ranker,neutral,1988.0,0.004,-0.0442,-0.0055,1999.6,2012.0,0.3063,0.0112,pykrx,,,,,,,,,data/raw/price_352940_20260430_20260828.csv,267,False,Broad evaluation pool candidate,185,False,Broad evaluation pool candidate
